year,decade,month,month_name,state,species,activity,body_part,injury,provoked,gender,time_block,time_order,latitude,longitude
1997,1990s,12,Dec,New South Wales,Wobbegong,Swimming,Leg/Foot,Non-Fatal,Unprovoked,Male,Late Afternoon,5,-29.1143,153.4376
1997,1990s,12,Dec,Queensland,Bull Shark,Swimming,Leg/Foot,Non-Fatal,Unprovoked,Male,,99,-20.0643,148.9506
1998,1990s,1,Jan,Western Australia,Wobbegong,Diving,Leg/Foot,Non-Fatal,Provoked,Male,Morning,3,-34.2234,115.0301
1998,1990s,1,Jan,Queensland,Tiger Shark,Snorkelling,,Uninjured,Unprovoked,Male,Early Morning,2,-18.6639,146.4984
1998,1990s,1,Jan,South Australia,Wobbegong,Boarding,Leg/Foot,Non-Fatal,Unprovoked,Male,,99,-35.5167,138.7184
1998,1990s,6,Jun,South Australia,White Shark,Snorkelling,Leg/Foot,Fatal,Unprovoked,Male,Early Afternoon,4,-35.3262,136.1197
1998,1990s,9,Sep,New South Wales,Wobbegong,Diving,Leg/Foot,Non-Fatal,Unprovoked,Male,,99,-35.048,150.6796
1998,1990s,10,Oct,Queensland,Wobbegong,Diving,Arm/Hand,Non-Fatal,Provoked,Male,Early Afternoon,4,-26.6775,153.1341
1998,1990s,12,Dec,South Australia,Wobbegong,Boarding,Leg/Foot,Non-Fatal,Unprovoked,Female,,99,-35.5167,138.7184
1998,1990s,12,Dec,New South Wales,Whaler Shark,Spearfishing,Leg/Foot,Non-Fatal,Provoked,Male,,99,-33.98,151.15
1999,1990s,2,Feb,New South Wales,White Shark,Boarding,Arm/Hand,Non-Fatal,Unprovoked,Male,Evening,6,-30.7425,152.9913
1999,1990s,5,May,South Australia,White Shark,Boarding,Torso,Fatal,Unprovoked,Male,Late Afternoon,5,-34.9275,137.4181
1999,1990s,10,Oct,Queensland,Wobbegong,Diving,Leg/Foot,Non-Fatal,Provoked,Male,,99,-27.4021,153.4374
1999,1990s,12,Dec,New South Wales,Whaler Shark,Diving,,Uninjured,Unprovoked,Male,Morning,3,-32.2031,152.5734
1999,1990s,12,Dec,Western Australia,White Shark,Diving,,Uninjured,Provoked,Male,,99,-31.8921,115.7223
2000,2000s,2,Feb,New South Wales,White Shark,Boarding,,Uninjured,Unprovoked,Male,Early Afternoon,4,-34.0421,151.1639
2000,2000s,2,Feb,South Australia,White Shark,Boarding,Torso,Non-Fatal,Unprovoked,Male,Morning,3,-32.0919,132.9768
2000,2000s,2,Feb,Western Australia,Wobbegong,Swimming,Leg/Foot,Non-Fatal,Unprovoked,Male,Before Dawn,1,-31.8286,115.7431
2000,2000s,3,Mar,Queensland,White Shark,Swimming,Leg/Foot,Non-Fatal,Unprovoked,Male,Early Afternoon,4,-27.9849,153.4312
2000,2000s,3,Mar,Western Australia,White Shark,Boarding,Leg/Foot,Non-Fatal,Unprovoked,Male,Evening,6,-33.9696,114.9994
2000,2000s,3,Mar,New South Wales,White Shark,Boarding,,Uninjured,Unprovoked,Male,Evening,6,-33.4999,151.4255
2000,2000s,3,Mar,New South Wales,Bull Shark,Swimming,Leg/Foot,Non-Fatal,Unprovoked,Male,,99,-33.8462,151.2399
2000,2000s,3,Mar,New South Wales,Bull Shark,Unmotorised Boating,,Uninjured,Unprovoked,Male,,99,-33.86,151.2
2000,2000s,4,Apr,New South Wales,Whaler Shark,Boarding,,Uninjured,Unprovoked,Male,Late Afternoon,5,-33.9517,151.2582
2000,2000s,4,Apr,Western Australia,Wobbegong,Standing in Water,Leg/Foot,Non-Fatal,Provoked,Female,,99,-31.9894,115.7512
2000,2000s,9,Sep,South Australia,White Shark,Boarding,Torso,Fatal,Unprovoked,Male,Early Afternoon,4,-33.6631,134.8967
2000,2000s,9,Sep,South Australia,White Shark,Boarding,Torso,Fatal,Unprovoked,Male,Early Morning,2,-32.0894,132.9796
2000,2000s,11,Nov,Queensland,Tiger Shark,Diving,,Uninjured,Provoked,Male,Morning,3,-18.6627,146.4992
2000,2000s,11,Nov,Western Australia,White Shark,Swimming,Leg/Foot,Non-Fatal,Unprovoked,Male,Early Morning,2,-31.9894,115.7512
2000,2000s,11,Nov,New South Wales,White Shark,Swimming,,Uninjured,Unprovoked,Male,Late Afternoon,5,-34.6376,150.8559
2000,2000s,11,Nov,South Australia,White Shark,Diving,,Uninjured,Provoked,Male,Early Afternoon,4,-33.2442,134.6627
2000,2000s,11,Nov,Western Australia,White Shark,Swimming,Leg/Foot,Fatal,Unprovoked,Male,Early Morning,2,-31.9894,115.7512
2000,2000s,12,Dec,Queensland,Whaler Shark,Spearfishing,Arm/Hand,Non-Fatal,Provoked,Male,Morning,3,-23.4266,152.0324
2000,2000s,12,Dec,Queensland,Wobbegong,Diving,Arm/Hand,Non-Fatal,Unprovoked,Male,Late Afternoon,5,-17.7433,148.4149
2001,2000s,1,Jan,Queensland,Tiger Shark,Boarding,,Uninjured,Unprovoked,Male,Late Afternoon,5,-26.3844,153.0888
2001,2000s,1,Jan,New South Wales,White Shark,Unmotorised Boating,,Uninjured,Unprovoked,Male,,99,-30.8816,153.0439
2001,2000s,2,Feb,New South Wales,Tiger Shark,Boarding,Leg/Foot,Non-Fatal,Unprovoked,Male,Late Afternoon,5,-29.6067,153.3367
2001,2000s,3,Mar,Western Australia,Wobbegong,Snorkelling,Leg/Foot,Non-Fatal,Unprovoked,Male,Early Afternoon,4,-33.9826,114.9936
2001,2000s,4,Apr,New South Wales,Wobbegong,Boarding,Leg/Foot,Non-Fatal,Unprovoked,Male,Morning,3,-30.6494,153.0158
2001,2000s,4,Apr,New South Wales,Wobbegong,Snorkelling,Arm/Hand,Non-Fatal,Provoked,Male,,99,-33.9033,151.2685
2001,2000s,5,May,New South Wales,White Shark,Boarding,Torso,Non-Fatal,Unprovoked,Male,Late Afternoon,5,-33.2519,151.5638
2001,2000s,10,Oct,Queensland,Tiger Shark,Unmotorised Boating,,Uninjured,Unprovoked,Male,Early Afternoon,4,-27.3468,153.4392
2001,2000s,10,Oct,Queensland,Other,Snorkelling,Arm/Hand,Non-Fatal,Provoked,Female,Early Afternoon,4,-17.4231,151.0741
2001,2000s,11,Nov,New South Wales,White Shark,Boarding,Torso,Non-Fatal,Unprovoked,Male,Morning,3,-28.8442,153.6071
2001,2000s,12,Dec,New South Wales,Wobbegong,Swimming,Leg/Foot,Non-Fatal,Unprovoked,Male,Evening,6,-29.4552,153.3646
2001,2000s,12,Dec,Western Australia,White Shark,Boarding,,Uninjured,Unprovoked,Male,,99,-33.6397,115.0263
2001,2000s,12,Dec,Western Australia,White Shark,Spearfishing,,Uninjured,Provoked,Male,,99,-33.6702 Ê,114.9951
2002,2000s,1,Jan,Western Australia,Other,Swimming,Leg/Foot,Non-Fatal,Unprovoked,Male,Late Afternoon,5,-33.2906,115.7211
2002,2000s,1,Jan,New South Wales,Bull Shark,Boarding,Arm/Hand,Non-Fatal,Unprovoked,Male,Evening,6,-32.7383,152.1904
2002,2000s,2,Feb,Queensland,Whaler Shark,Boarding,Leg/Foot,Non-Fatal,Unprovoked,Male,Morning,3,-26.4171,153.1123
2002,2000s,2,Feb,New South Wales,Bull Shark,Unmotorised Boating,,Uninjured,Unprovoked,Male,Evening,6,-33.8419,151.1187
2002,2000s,4,Apr,New South Wales,Bull Shark,Spearfishing,,Uninjured,Provoked,Male,,99,-30.283,153.133
2002,2000s,4,Apr,South Australia,White Shark,Diving,Leg/Foot,Fatal,Provoked,Male,Early Afternoon,4,-32.3736,133.9199
2002,2000s,4,Apr,New South Wales,Wobbegong,Swimming,Leg/Foot,Non-Fatal,Unprovoked,Male,,99,-32.9415,151.7686
2002,2000s,8,Aug,Western Australia,White Shark,Boarding,,Uninjured,Unprovoked,Male,Early Morning,2,-31.9989,115.7507
2002,2000s,12,Dec,Queensland,Other,Snorkelling,Arm/Hand,Non-Fatal,Provoked,Female,Early Afternoon,4,-16.6667,145.9333
2002,2000s,12,Dec,New South Wales,Wobbegong,Diving,Leg/Foot,Non-Fatal,Unprovoked,Male,Morning,3,-33.7983,151.2969
2002,2000s,12,Dec,Queensland,Bull Shark,Swimming,Leg/Foot,Fatal,Unprovoked,Male,Before Dawn,1,-28.0779,153.4318
2003,2000s,1,Jan,New South Wales,Wobbegong,Swimming,Leg/Foot,Non-Fatal,Unprovoked,Male,,99,-33.9206,151.2581
2003,2000s,1,Jan,South Australia,White Shark,Boarding,,Uninjured,Unprovoked,Female,Early Afternoon,4,-33.8519,135.2096
2003,2000s,2,Feb,South Australia,Wobbegong,Standing in Water,Leg/Foot,Non-Fatal,Unprovoked,Male,,99,-35.5255,138.7702
2003,2000s,2,Feb,Queensland,Bull Shark,Swimming,Leg/Foot,Fatal,Unprovoked,Male,Early Morning,2,-28.0878,153.4408
2003,2000s,3,Mar,New South Wales,Whaler Shark,Boarding,Leg/Foot,Non-Fatal,Unprovoked,Male,,99,-29.4306,153.3633
2003,2000s,3,Mar,Western Australia,Wobbegong,Diving,Torso,Non-Fatal,Provoked,Male,,99,-32.5193,115.7245
2003,2000s,7,Jul,Northern Territory,Tiger Shark,Unmotorised Boating,,Uninjured,Unprovoked,Male,,99,-12.1636,136.8011
2003,2000s,10,Oct,New South Wales,Wobbegong,Boarding,Leg/Foot,Non-Fatal,Unprovoked,Male,Evening,6,-30.2669,153.1397
2003,2000s,10,Oct,New South Wales,Wobbegong,Boarding,Leg/Foot,Non-Fatal,Unprovoked,Male,Late Afternoon,5,-32.4435,152.5351
2003,2000s,11,Nov,Western Australia,Wobbegong,Swimming,Leg/Foot,Non-Fatal,Provoked,Male,Morning,3,-33.9761,114.9844
2003,2000s,11,Nov,Western Australia,Wobbegong,Swimming,Leg/Foot,Non-Fatal,Provoked,Male,Morning,3,-33.9761,114.9844
2003,2000s,12,Dec,Western Australia,Wobbegong,Spearfishing,Leg/Foot,Non-Fatal,Provoked,Male,Early Morning,2,-33.9826,114.9889
2003,2000s,12,Dec,Victoria,Whaler Shark,Swimming,,Uninjured,Unprovoked,Male,Before Dawn,1,-38.2746,144.5554
2004,2000s,1,Jan,Western Australia,Wobbegong,Swimming,Torso,Non-Fatal,Unprovoked,Male,Evening,6,-33.9903,114.9908
2004,2000s,1,Jan,New South Wales,Whaler Shark,Diving,,Uninjured,Unprovoked,Male,Morning,3,-34.5945,150.9009
2004,2000s,1,Jan,New South Wales,Wobbegong,Swimming,Leg/Foot,Non-Fatal,Unprovoked,Male,,99,-30.7425,152.9913
2004,2000s,1,Jan,New South Wales,Wobbegong,Swimming,Torso,Non-Fatal,Unprovoked,Female,,99,-30.6477,153.0125
2004,2000s,1,Jan,Western Australia,White Shark,Spearfishing,Leg/Foot,Non-Fatal,Provoked,Male,Morning,3,-32.9449,115.4723
2004,2000s,2,Feb,Victoria,White Shark,Diving,,Uninjured,Provoked,Male,,99,-38.3401,141.3812
2004,2000s,2,Feb,New South Wales,Other,Spearfishing,Leg/Foot,Non-Fatal,Provoked,Male,,99,-33.1098,151.6477
2004,2000s,2,Feb,Western Australia,Wobbegong,Snorkelling,Leg/Foot,Non-Fatal,Unprovoked,Female,Early Afternoon,4,-31.8389,115.7492
2004,2000s,2,Feb,Western Australia,Wobbegong,Snorkelling,Leg/Foot,Non-Fatal,Unprovoked,Male,Early Afternoon,4,-31.8389,115.7492
2004,2000s,3,Mar,Western Australia,Whaler Shark,Spearfishing,Leg/Foot,Non-Fatal,Provoked,Male,,99,-30.5241,115.0204
2004,2000s,4,Apr,New South Wales,Wobbegong,Diving,Arm/Hand,Non-Fatal,Unprovoked,Male,,99,-32.2101,152.5709
2004,2000s,4,Apr,Western Australia,Wobbegong,Snorkelling,Leg/Foot,Non-Fatal,Unprovoked,Male,,99,-33.9826,114.9936
2004,2000s,6,Jun,Western Australia,White Shark,Diving,,Uninjured,Provoked,Male,,99,-31.9293,115.7546
2004,2000s,6,Jun,Western Australia,White Shark,Boarding,Leg/Foot,Non-Fatal,Unprovoked,Male,Late Afternoon,5,-33.3247,115.6297
2004,2000s,7,Jul,Western Australia,Wobbegong,Diving,Leg/Foot,Non-Fatal,Unprovoked,Male,Early Afternoon,4,-32.0234,115.5325
2004,2000s,7,Jul,Western Australia,White Shark,Boarding,Leg/Foot,Fatal,Unprovoked,Male,Early Afternoon,4,-33.8795,114.9829
2004,2000s,8,Aug,New South Wales,Other,Spearfishing,Leg/Foot,Non-Fatal,Provoked,Male,Early Afternoon,4,-28.6547,153.6284
2004,2000s,8,Aug,Victoria,White Shark,Boarding,,Uninjured,Unprovoked,Male,Late Afternoon,5,-38.4836,145.0348
2004,2000s,9,Sep,Queensland,Tiger Shark,Snorkelling,,Uninjured,Provoked,Male,Early Afternoon,4,-16.4037,145.7667
2004,2000s,10,Oct,New South Wales,White Shark,Boarding,Leg/Foot,Non-Fatal,Unprovoked,Male,Late Afternoon,5,-32.8811,151.8432
2004,2000s,11,Nov,New South Wales,Wobbegong,Boarding,Arm/Hand,Non-Fatal,Unprovoked,Male,Early Morning,2,-32.0095,152.5664
2004,2000s,12,Dec,Queensland,Tiger Shark,Spearfishing,Leg/Foot,Fatal,Provoked,Male,Early Afternoon,4,-16.1743,145.8866
2004,2000s,12,Dec,South Australia,White Shark,Boarding,Torso,Fatal,Unprovoked,Male,Late Afternoon,5,-34.9437,138.4992
2005,2000s,1,Jan,Victoria,White Shark,Spearfishing,,Uninjured,Provoked,Male,,99,-37.9973,145.0389
2005,2000s,2,Feb,Queensland,Bull Shark,Swimming,Arm/Hand,Non-Fatal,Unprovoked,Male,,99,-27.5421,152.8412
2005,2000s,3,Mar,New South Wales,White Shark,Boarding,,Uninjured,Unprovoked,Male,Early Afternoon,4,-33.3939,151.4872
2005,2000s,3,Mar,Western Australia,White Shark,Snorkelling,Torso,Fatal,Unprovoked,Male,,99,-28.9863,113.9601
2005,2000s,4,Apr,Northern Territory,Whaler Shark,Spearfishing,Head/Neck,Non-Fatal,Provoked,Male,,99,-12.0633,136.8214
2005,2000s,4,Apr,New South Wales,White Shark,Boarding,,Uninjured,Unprovoked,Male,Early Morning,2,-33.9033,151.2685
2005,2000s,5,May,Queensland,Other,Spearfishing,Arm/Hand,Non-Fatal,Provoked,Male,,99,-19.3508,147.3622
2005,2000s,8,Aug,South Australia,White Shark,Diving,Torso,Fatal,Unprovoked,Male,Late Afternoon,5,-34.9804,138.5131
2005,2000s,9,Sep,New South Wales,Tiger Shark,Boarding,,Uninjured,Unprovoked,Male,,99,-30.8875,153.0761
2005,2000s,9,Sep,New South Wales,Wobbegong,Boarding,Leg/Foot,Non-Fatal,Unprovoked,Male,,99,-30.2860,153.1364
2005,2000s,9,Sep,Western Australia,White Shark,Boarding,,Uninjured,Unprovoked,Male,,99,-31.8908,115.7536
